iter	Passed	Remaining
0	274	13735489
1	520	13004070
2	753	12562479
3	1026	12830505
4	1256	12566374
5	1530	12749165
6	1790	12790304
7	2042	12765948
8	2305	12806961
9	2568	12840095
10	2857	12986002
11	3132	13047561
12	3361	12926218
13	3589	12814757
14	3850	12832790
15	4081	12749223
16	4376	12868530
17	4703	13061449
18	4946	13011469
19	5184	12956641
20	5463	13002571
21	5760	13087083
22	6068	13187057
23	6390	13306677
24	6691	13376110
25	6969	13396516
26	7256	13431237
27	7487	13363090
28	7723	13307940
29	7961	13261197
30	8211	13236463
31	8550	13351393
32	8794	13316404
33	9042	13288235
34	9267	13230255
35	9487	13167258
36	9713	13116709
37	9963	13099478
38	10221	13094031
39	10448	13049660
40	10662	12992419
41	10885	12948063
42	11126	12926331
43	11361	12898947
44	11574	12848592
45	11806	12821696
46	12028	12784085
47	12248	12746296
48	12474	12716814
49	12701	12688554
50	12923	12657041
51	13134	12615977
52	13360	12590772
53	13565	12546968
54	13779	12513323
55	13995	12481940
56	14209	12450220
57	14416	12413694
58	14628	12382528
59	14844	12355671
60	15065	12333582
61	15296	12320671
62	15518	12300527
63	15738	12280187
64	15960	12261247
65	16178	12240017
66	16393	12217838
67	16609	12196613
68	16827	12176831
69	17031	12148108
70	17252	12132584
71	17470	12114862
72	17684	12094933
73	17903	12079061
74	18137	12073532
75	18367	12065651
76	18597	12057564
77	18821	12046114
78	19046	12035749
79	19252	12013444
80	19468	11998206
81	19685	11983549
82	19908	11973051
83	20181	11992912
84	20407	11984127
85	20628	11972846
86	20853	11963724
87	21075	11953536
88	21297	11943326
89	21511	11929549
90	21732	11919126
91	21965	11915998
92	22194	11910319
93	22413	11899407
94	22635	11890932
95	22843	11874591
96	23050	11858506
97	23254	11841147
98	23468	11829428
99	23685	11819258
100	23937	11826461
101	24161	11819571
102	24390	11815677
103	24607	11805986
104	24818	11793352
105	25027	11780455
106	25248	11773319
107	25470	11766219
108	25680	11754372
109	25891	11743000
110	26116	11738088
111	26342	11733696
112	26559	11725500
113	26778	11718289
114	26990	11708100
115	27209	11701110
116	27436	11697723
117	27657	11691739
118	27886	11689151
119	28123	11689847
120	28335	11680629
121	28564	11677996
122	28786	11673006
123	29001	11665134
124	29248	11670224
125	29547	11695511
126	29773	11692052
127	30029	11700345
128	30301	11714632
129	30571	11727605
130	30786	11719697
131	30999	11711264
132	31225	11707506
133	31448	11703134
134	31717	11715588
135	32067	11757628
136	32354	11775761
137	32637	11792640
138	32988	11833440
139	33325	11868511
140	33738	11930169
141	34032	11949133
142	34283	11953087
143	34509	11947894
144	34716	11936347
145	34937	11929983
146	35165	11925796
147	35410	11927719
148	35617	11916570
149	35820	11904245
150	36061	11904906
151	36284	11899473
152	36503	11892675
153	36743	11892983
154	36975	11890501
155	37209	11889018
156	37512	11909265
157	37743	11906461
158	37976	11904350
159	38202	11900104
160	38429	11896182
161	38658	11893075
162	38901	11894028
163	39139	11893584
164	39360	11888192
165	39583	11883195
166	39804	11877769
167	40042	11877329
168	40282	11877537
169	40500	11871548
170	40730	11868663
171	40967	11868213
172	41190	11863513
173	41424	11862251
174	41658	11860879
175	41898	11861072
176	42134	11860198
177	42364	11857652
178	42571	11848943
179	42787	11842501
180	43016	11839956
181	43227	11832339
182	43445	11826940
183	43655	11819163
184	43892	11819072
185	44104	11811924
186	44338	11810914
187	44549	11803606
188	44765	11798035
189	44985	11793227
